Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Airport Way S / S Lucile St,Medic Response- 6 per Rule,2025-10-06 17:58:00,47.553351,-122.321004,POINT (-122.321004 47.553351),F250138783
80 Stewart St,Aid Response,2025-10-06 17:57:00,47.609799,-122.34195,POINT (-122.34195 47.609799),F250138781
9425 7th Ave Sw,Medic Response,2025-10-06 17:55:00,47.518895,-122.344159,POINT (-122.344159 47.518895),F250138780
804 James St,Investigate Out Of Service,2025-10-06 17:53:00,47.605109,-122.325815,POINT (-122.325815 47.605109),F250138778
1401 Boren Ave,Medic Response,2025-10-06 17:51:00,47.612472,-122.328005,POINT (-122.328005 47.612472),F250138777
8424 26th Ave Sw,Aid Response,2025-10-06 17:49:00,47.528062,-122.365858,POINT (-122.365858 47.528062),F250138776
916 N 143rd St,1RED 1 Unit,2025-10-06 17:42:00,47.732314,-122.347028,POINT (-122.347028 47.732314),F250138773
2611 S Dearborn St,Aid Response,2025-10-06 17:38:00,47.595541,-122.298643,POINT (-122.298643 47.595541),F250138771
15th Ave Ne / Ne Ravenna Blvd,MVI - Motor Vehicle Incident,2025-10-06 17:37:00,47.670721,-122.311896,POINT (-122.311896 47.670721),F250138770
14100 Linden Ave N,Aid Response,2025-10-06 17:35:00,47.73104,-122.347764,POINT (-122.347764 47.73104),F250138769
2480 Birch Ave N,Scenes Of Violence Aid,2025-10-06 17:33:00,47.642066,-122.346371,POINT (-122.346371 47.642066),F250138767
14315 Lake City Way Ne,Auto Fire Alarm,2025-10-06 17:27:00,47.732071,-122.292377,POINT (-122.292377 47.732071),F250138766
1007 Stewart St,Rescue Elevator,2025-10-06 17:16:00,47.616328,-122.333516,POINT (-122.333516 47.616328),F250138762
4540 8th Ave Ne,Aid Response,2025-10-06 17:16:00,47.66167,-122.319564,POINT (-122.319564 47.66167),F250138761
7125 Fauntleroy Way Sw,Aid Response,2025-10-06 16:48:00,47.539419,-122.390816,POINT (-122.390816 47.539419),F250138758
1229 Madison St,Aid Response,2025-10-06 16:48:00,47.60994,-122.3237,POINT (-122.3237 47.60994),F250138757
6400 15th Ave Nw,Auto Fire Alarm,2025-10-06 16:46:00,47.675279,-122.376211,POINT (-122.376211 47.675279),F250138756
5707 Airport Way S,MVI - Motor Vehicle Incident,2025-10-06 16:40:00,47.551092,-122.318745,POINT (-122.318745 47.551092),F250138754
321 16th Ave S,Crisis Center,2025-10-06 16:37:00,47.599839,-122.311575,POINT (-122.311575 47.599839),F250138752
4032 47th Ave Sw,Aid Response,2025-10-06 16:36:00,47.56786,-122.39212,POINT (-122.39212 47.56786),F250138750
2500 Ne Wahkiakum Ln,Aid Response,2025-10-06 16:36:00,47.654993,-122.30233,POINT (-122.30233 47.654993),F250138749
E Madison St / Martin Luther King Jr Way E,Illegal Burn,2025-10-06 16:23:00,47.623317,-122.296424,POINT (-122.296424 47.623317),F250138745
1536 N 115th St,Aid Response,2025-10-06 16:21:00,47.712306,-122.339738,POINT (-122.339738 47.712306),F250138743
2107 8th Ave N,Aid Response,2025-10-06 16:17:00,47.638027,-122.341944,POINT (-122.341944 47.638027),F250138742
727 Bellevue Ave E,Aid Response,2025-10-06 16:15:00,47.625362,-122.326596,POINT (-122.326596 47.625362),F250138740
4221 30th Ave Sw,Medic Response,2025-10-06 16:01:00,47.566195,-122.370786,POINT (-122.370786 47.566195),F250138736
913 S Jackson St,Aid Response,2025-10-06 15:59:00,47.59919,-122.320841,POINT (-122.320841 47.59919),F250138735
714 E Pike St,Rescue Elevator,2025-10-06 15:52:00,47.614052,-122.323219,POINT (-122.323219 47.614052),F250138734
